        size,          ops,         time,      op/time
        1024,    156250000,     0.077786,  2.00872e+09
        2048,    156249984,     0.074421,  2.09954e+09
        3072,    156249984,     0.068024,  2.29698e+09
        4096,    156249984,     0.078641,  1.98688e+09
        5120,    156250000,     0.083193,  1.87816e+09
        6144,    156249984,     0.078226,  1.99742e+09
        7168,    156249968,     0.087242,  1.79099e+09
        8192,    156249984,     0.086760,  1.80095e+09
        9216,    156249936,     0.075055,  2.08181e+09
       10240,    156249920,     0.075289,  2.07534e+09
       11264,    156249984,     0.086095,  1.81486e+09
       12288,    156249984,     0.075829,  2.06056e+09
       13312,    156249808,     0.077442,  2.01764e+09
       14336,    156249856,     0.076588,  2.04014e+09
       15360,    156249840,     0.069700,  2.24175e+09
       16384,    156249856,     0.073111,  2.13716e+09
       17408,    156249856,     0.075076,  2.08122e+09
       18432,    156249792,     0.073570,  2.12382e+09
       19456,    156249920,     0.076127,  2.05249e+09
       20480,    156249920,     0.068769,   2.2721e+09
       21504,    156249744,     0.068689,  2.27474e+09
       22528,    156249984,     0.075440,  2.07118e+09
       23552,    156249856,     0.073613,  2.12258e+09
       24576,    156249984,     0.071188,  2.19489e+09
       25600,    156250000,     0.068626,  2.27683e+09
       26624,    156249600,     0.070897,   2.2039e+09
       27648,    156249648,     0.066752,  2.34075e+09
       28672,    156249856,     0.069184,  2.25847e+09
       29696,    156249680,     0.079099,  1.97537e+09
       30720,    156249600,     0.068293,  2.28793e+09
       31744,    156249920,     0.068648,   2.2761e+09
       32768,    156249600,     0.067811,  2.30419e+09
       33792,    156249984,     0.079804,  1.95792e+09
       34816,    156249856,     0.106417,  1.46828e+09
       35840,    156249520,     0.135175,  1.15591e+09
       36864,    156249792,     0.151618,  1.03055e+09
       37888,    156249520,     0.149174,  1.04743e+09
       38912,    156249920,     0.154684,  1.01012e+09
       39936,    156249600,     0.148910,  1.04929e+09
       40960,    156249600,     0.149018,  1.04853e+09
       41984,    156249360,     0.147857,  1.05676e+09
       43008,    156249408,     0.149095,  1.04799e+09
       44032,    156249616,     0.152153,  1.02692e+09
       45056,    156249984,     0.148076,   1.0552e+09
       46080,    156249360,     0.148225,  1.05414e+09
       47104,    156249856,     0.157980,  9.89048e+08
       48128,    156249808,     0.158127,  9.88129e+08
       49152,    156249600,     0.151718,  1.02987e+09
       50176,    156249632,     0.156058,  1.00123e+09
       51200,    156249600,     0.159491,  9.79677e+08
       52224,    156249312,     0.159408,  9.80185e+08
       53248,    156249600,     0.152842,  1.02229e+09
       54272,    156249936,     0.149935,  1.04212e+09
       55296,    156249216,     0.153704,  1.01656e+09
       56320,    156249280,     0.150882,  1.03557e+09
       57344,    156249856,     0.150294,  1.03963e+09
       58368,    156249312,     0.151246,  1.03308e+09
       59392,    156249216,     0.151929,  1.02844e+09
       60416,    156249936,     0.149488,  1.04523e+09
       61440,    156249600,     0.152132,  1.02707e+09
       62464,    156249792,     0.151264,  1.03296e+09
       63488,    156249920,     0.156249,  1.00001e+09
       64512,    156249072,     0.155252,  1.00642e+09
       65536,    156249088,     0.153325,  1.01907e+09
       66560,    156249600,     0.151082,   1.0342e+09
       67584,    156249984,     0.155615,  1.00408e+09
       68608,    156249360,     0.152129,  1.02708e+09
       69632,    156249856,     0.151688,  1.03007e+09
       70656,    156249120,     0.151189,  1.03347e+09
       71680,    156248960,     0.151943,  1.02834e+09
       72704,    156249984,     0.151010,   1.0347e+09
       73728,    156249216,     0.152517,  1.02447e+09
       74752,    156249200,     0.151389,   1.0321e+09
       75776,    156248928,     0.149903,  1.04233e+09
       76800,    156249600,     0.151926,  1.02846e+09
       77824,    156249920,     0.150242,  1.03999e+09
       78848,    156249632,     0.148968,  1.04888e+09
       79872,    156249600,     0.150510,  1.03813e+09
       80896,    156249360,     0.153347,  1.01893e+09
