        size,          ops,         time,      time/op
           2,      5120000,     0.002428,  4.74219e-10
           4,      5120000,     0.002159,   4.2168e-10
           6,      5120000,     0.002308,  4.50781e-10
           8,      5120000,     0.002487,  4.85742e-10
          10,      5120000,     0.002577,   5.0332e-10
          12,      5120000,     0.003426,  6.69141e-10
          14,      5120000,     0.003393,  6.62695e-10
          16,      5120000,     0.002731,  5.33398e-10
          18,      5120000,     0.002818,  5.50391e-10
          20,      5120000,     0.003083,  6.02148e-10
          22,      5120000,     0.003034,  5.92578e-10
          24,      5120000,     0.004584,  8.95312e-10
          26,      5120000,     0.003317,  6.47852e-10
          28,      5120000,     0.003712,     7.25e-10
          30,      5120000,     0.003927,  7.66992e-10
          32,      5120000,     0.004148,  8.10156e-10
          34,      5120000,     0.004649,  9.08008e-10
          36,      5120000,     0.004354,  8.50391e-10
          38,      5120000,     0.004639,  9.06055e-10
          40,      5120000,     0.004841,  9.45508e-10
          42,      5120000,     0.005822,  1.13711e-09
          44,      5120000,     0.005541,  1.08223e-09
          46,      5120000,     0.005648,  1.10313e-09
          48,      5120000,     0.006449,  1.25957e-09
          50,      5120000,     0.005851,  1.14277e-09
          52,      5120000,     0.006277,  1.22598e-09
          54,      5120000,     0.006746,  1.31758e-09
          56,      5120000,     0.006568,  1.28281e-09
          58,      5120000,     0.007312,  1.42812e-09
          60,      5120000,     0.007292,  1.42422e-09
          62,      5120000,     0.007803,  1.52402e-09
          64,      5120000,     0.008135,  1.58887e-09
          66,      5120000,     0.007790,  1.52148e-09
          68,      5120000,     0.007924,  1.54766e-09
          70,      5120000,     0.008332,  1.62734e-09
          72,      5120000,     0.008578,  1.67539e-09
          74,      5120000,     0.008109,  1.58379e-09
          76,      5120000,     0.008352,  1.63125e-09
          78,      5120000,     0.008524,  1.66484e-09
          80,      5120000,     0.008155,  1.59277e-09
          82,      5120000,     0.009051,  1.76777e-09
          84,      5120000,     0.008234,   1.6082e-09
          86,      5120000,     0.009012,  1.76016e-09
          88,      5120000,     0.008105,  1.58301e-09
          90,      5120000,     0.007715,  1.50684e-09
          92,      5120000,     0.008048,  1.57187e-09
          94,      5120000,     0.008203,  1.60215e-09
          96,      5120000,     0.008503,  1.66074e-09
          98,      5120000,     0.008073,  1.57676e-09
         100,      5120000,     0.007924,  1.54766e-09
         102,      5120000,     0.008025,  1.56738e-09
         104,      5120000,     0.009021,  1.76191e-09
         106,      5120000,     0.009788,  1.91172e-09
         108,      5120000,     0.008624,  1.68437e-09
         110,      5120000,     0.008191,   1.5998e-09
         112,      5120000,     0.007866,  1.53633e-09
         114,      5120000,     0.008279,  1.61699e-09
         116,      5120000,     0.008411,  1.64277e-09
         118,      5120000,     0.007898,  1.54258e-09
         120,      5120000,     0.008164,  1.59453e-09
         122,      5120000,     0.008075,  1.57715e-09
         124,      5120000,     0.008234,   1.6082e-09
         126,      5120000,     0.010341,  2.01973e-09
         128,      5120000,     0.014416,  2.81563e-09
         130,      5120000,     0.010328,  2.01719e-09
         132,      5120000,     0.007874,  1.53789e-09
         134,      5120000,     0.009207,  1.79824e-09
         136,      5120000,     0.007896,  1.54219e-09
         138,      5120000,     0.008838,  1.72617e-09
         140,      5120000,     0.008708,  1.70078e-09
         142,      5120000,     0.008238,  1.60898e-09
         144,      5120000,     0.008640,   1.6875e-09
         146,      5120000,     0.008787,  1.71621e-09
         148,      5120000,     0.007943,  1.55137e-09
         150,      5120000,     0.008164,  1.59453e-09
         152,      5120000,     0.007286,  1.42305e-09
         154,      5120000,     0.008092,  1.58047e-09
         156,      5120000,     0.007821,  1.52754e-09
         158,      5120000,     0.008364,  1.63359e-09
         160,      5120000,     0.007450,  1.45508e-09
         162,      5120000,     0.007674,  1.49883e-09
         164,      5120000,     0.009727,   1.8998e-09
         166,      5120000,     0.008201,  1.60176e-09
         168,      5120000,     0.007809,   1.5252e-09
         170,      5120000,     0.007755,  1.51465e-09
         172,      5120000,     0.007585,  1.48145e-09
         174,      5120000,     0.007407,  1.44668e-09
         176,      5120000,     0.008717,  1.70254e-09
         178,      5120000,     0.012165,  2.37598e-09
         180,      5120000,     0.009383,  1.83262e-09
         182,      5120000,     0.009320,  1.82031e-09
         184,      5120000,     0.009169,  1.79082e-09
         186,      5120000,     0.006991,  1.36543e-09
         188,      5120000,     0.007804,  1.52422e-09
         190,      5120000,     0.006824,  1.33281e-09
         192,      5120000,     0.007212,  1.40859e-09
         194,      5120000,     0.006924,  1.35234e-09
         196,      5120000,     0.007685,  1.50098e-09
         198,      5120000,     0.008464,  1.65313e-09
         200,      5120000,     0.006806,   1.3293e-09
         202,      5120000,     0.006857,  1.33926e-09
         204,      5120000,     0.007158,  1.39805e-09
         206,      5120000,     0.007660,  1.49609e-09
         208,      5120000,     0.006592,   1.2875e-09
         210,      5120000,     0.007475,  1.45996e-09
         212,      5120000,     0.009808,  1.91562e-09
         214,      5120000,     0.006201,  1.21113e-09
         216,      5120000,     0.008335,  1.62793e-09
         218,      5120000,     0.006806,   1.3293e-09
         220,      5120000,     0.006433,  1.25645e-09
         222,      5120000,     0.006657,   1.3002e-09
         224,      5120000,     0.006525,  1.27441e-09
         226,      5120000,     0.008065,   1.5752e-09
         228,      5120000,     0.006784,    1.325e-09
         230,      5120000,     0.006177,  1.20645e-09
         232,      5120000,     0.006163,  1.20371e-09
         234,      5120000,     0.006998,   1.3668e-09
         236,      5120000,     0.007221,  1.41035e-09
         238,      5120000,     0.007569,  1.47832e-09
         240,      5120000,     0.006945,  1.35645e-09
         242,      5120000,     0.006884,  1.34453e-09
         244,      5120000,     0.008157,  1.59316e-09
         246,      5120000,     0.006902,  1.34805e-09
         248,      5120000,     0.006310,  1.23242e-09
         250,      5120000,     0.005995,   1.1709e-09
         252,      5120000,     0.006887,  1.34512e-09
         254,      5120000,     0.007329,  1.43145e-09
         256,      5120000,     0.014290,  2.79102e-09
